lengthscale,acq_function,queries,weight_acq_fes,noise,kernel_type,full
0.75,IVR,100,0.1,0.0,Matern52,False
0.75,US,100,0.1,0.0,Matern52,False
0.5,IVR,100,0.1,0.0,RBF,False
0.5,US,100,0.1,0.0,RBF,False
0.6,IVR,100,0.1,0.0,RBF,False
0.6,US,100,0.1,0.0,RBF,False
0.75,IVR,100,0.2,0.0,Matern52,False
0.75,US,100,0.2,0.0,Matern52,False
0.75,IVR,100,0.1,0.1,Matern52,False
0.75,US,100,0.1,0.1,Matern52,False
0.75,IVR,100,0.0,0.0,Matern52,False
0.75,US,100,0.0,0.0,Matern52,False
0.5,IVR,100,0.0,0.0,RBF,False
0.5,US,100,0.0,0.0,RBF,False
0.6,IVR,100,0.0,0.0,RBF,False
0.6,US,100,0.0,0.0,RBF,False
