# phi psi FES dF/dphi dF/dpsi
-3.141592653999969009e+00 -3.141592653999969009e+00 3.687996542518064302e+00 -1.186536672921406854e+01 3.334769468168020889e+00
-3.078760801000035130e+00 -3.141592653999969009e+00 2.998093820731895676e+00 -1.007489383012302753e+01 3.392310985987994520e+00
-3.015928946999945293e+00 -3.141592653999969009e+00 2.422753843888763470e+00 -8.230944600588948390e+00 3.462976579996983162e+00
-2.953097093999986988e+00 -3.141592653999969009e+00 1.958955053994529294e+00 -6.530884155688954529e+00 3.472572350264004903e+00
-2.890265241000027796e+00 -3.141592653999969009e+00 1.595566298633798397e+00 -5.060300340925000029e+00 3.526298803761017453e+00
-2.827433387999951364e+00 -3.141592653999969009e+00 1.317028065782992030e+00 -3.811170720897977482e+00 3.611131002264003964e+00
-2.764601535000068555e+00 -3.141592653999969009e+00 1.115453403642064245e+00 -2.656396314584988705e+00 3.797105457666975603e+00
-2.701769681999986794e+00 -3.141592653999969009e+00 9.851763185899073960e-01 -1.465729090416997060e+00 4.033095843888981236e+00
-2.638937829000033375e+00 -3.141592653999969009e+00 9.323316616667867152e-01 -2.149878915610001773e-01 4.349548319970986121e+00
-2.576105975999960940e+00 -3.141592653999969009e+00 9.573044194378184102e-01 9.964606445880000996e-01 4.683819564474986485e+00
-2.513274122999976878e+00 -3.141592653999969009e+00 1.052784023555865645e+00 2.031188233769002149e+00 5.043500692512992600e+00
-2.450442270000012801e+00 -3.141592653999969009e+00 1.207202540179956429e+00 2.824691092595983388e+00 5.339121726196959905e+00
-2.387610416999951468e+00 -3.141592653999969009e+00 1.401195501303000412e+00 3.316564648043013097e+00 5.512499718901034740e+00
-2.324778564000050451e+00 -3.141592653999969009e+00 1.613621097975745045e+00 3.421418182214007508e+00 5.570767459316967596e+00
-2.261946711000003774e+00 -3.141592653999969009e+00 1.827767137074452819e+00 3.357774748637973872e+00 5.548800095221964490e+00
-2.199114858000019712e+00 -3.141592653999969009e+00 2.032123606077682609e+00 3.159910866130996254e+00 5.450238726010995016e+00
-2.136283003999996488e+00 -3.141592653999969009e+00 2.225205705419135427e+00 2.978818829989029471e+00 5.392074628627004707e+00
-2.073451150999975567e+00 -3.141592653999969009e+00 2.407720665159040152e+00 2.810211206195992961e+00 5.302131460776020155e+00
-2.010619297999981292e+00 -3.141592653999969009e+00 2.578431582009635292e+00 2.641784621075980333e+00 5.203505070629015350e+00
-1.947787444999960371e+00 -3.141592653999969009e+00 2.743262242074706592e+00 2.608192432212005141e+00 5.113472829695976607e+00
-1.884955592000037816e+00 -3.141592653999969009e+00 2.905696719770695324e+00 2.567798995718999056e+00 5.056334769431001241e+00
-1.822123739000014231e+00 -3.141592653999969009e+00 3.067290911300005973e+00 2.531107167517008261e+00 4.929935623576994885e+00
-1.759291886000024174e+00 -3.141592653999969009e+00 3.221784853223418565e+00 2.427487903376994272e+00 4.859238376379984459e+00
-1.696460032999994372e+00 -3.141592653999969009e+00 3.371532987887839283e+00 2.358488132768999268e+00 4.790366982897031889e+00
-1.633628179999974339e+00 -3.141592653999969009e+00 3.514503921510595319e+00 2.154048954084003764e+00 4.765392715102017007e+00
-1.570796326999984505e+00 -3.141592653999969009e+00 3.648840087950709687e+00 2.102826265755005863e+00 4.790223490226020786e+00
-1.507964473999968025e+00 -3.141592653999969009e+00 3.779408231399862927e+00 2.099613577634022121e+00 4.806046908588008648e+00
-1.445132621000018824e+00 -3.141592653999969009e+00 3.914767105686919990e+00 2.268331451146992084e+00 4.894131674933004383e+00
-1.382300768000029434e+00 -3.141592653999969009e+00 4.068275109304764214e+00 2.652187909617000905e+00 5.043474899589977412e+00
-1.319468915000011622e+00 -3.141592653999969009e+00 4.253392927949832369e+00 3.296207155261008381e+00 5.303039655765023674e+00
-1.256637060999993283e+00 -3.141592653999969009e+00 4.488006144311711410e+00 4.174381961610000857e+00 5.729100143478981444e+00
-1.193805207999977691e+00 -3.141592653999969009e+00 4.783850645139295921e+00 5.309520882696000754e+00 6.285480704449962097e+00
-1.130973355000006064e+00 -3.141592653999969009e+00 5.157885204147703462e+00 6.648812665766997476e+00 6.936503220706024209e+00
-1.068141501999998244e+00 -3.141592653999969009e+00 5.622384439297036351e+00 8.222847597506994788e+00 7.644838563555987676e+00
-1.005309648999990646e+00 -3.141592653999969009e+00 6.197116184314012344e+00 1.012316286343597760e+01 8.389442034024972017e+00
-9.424777960000189081e-01 -3.141592653999969009e+00 6.895494766772820583e+00 1.211272026318201966e+01 9.139502985484945441e+00
-8.796459430000120872e-01 -3.141592653999969009e+00 7.718508878896670922e+00 1.405553732144398182e+01 9.814315296249883858e+00
-8.168140899999871696e-01 -3.141592653999969009e+00 8.659245674986649988e+00 1.585501348037586489e+01 1.044055071541403379e+01
-7.539822369999840124e-01 -3.141592653999969009e+00 9.700272270115121387e+00 1.722930790722904959e+01 1.098333818902598402e+01
-6.911503840000147170e-01 -3.141592653999969009e+00 1.081411175060586771e+01 1.815077024994696586e+01 1.154520061416302568e+01
-6.283185309999932411e-01 -3.141592653999969009e+00 1.197193388719984597e+01 1.865298968387612888e+01 1.221062684558290634e+01
-5.654866780000047388e-01 -3.141592653999969009e+00 1.315331022610093470e+01 1.891121342309598319e+01 1.298061060794103660e+01
-5.026548249999909235e-01 -3.141592653999969009e+00 1.434781474345682994e+01 1.909848168532495549e+01 1.384143577222904398e+01
-4.398229720000016441e-01 -3.141592653999969009e+00 1.555077253444087404e+01 1.920583589389809731e+01 1.471153196885599179e+01
-3.769911179999962392e-01 -3.141592653999969009e+00 1.675823514768695333e+01 1.920228216122090004e+01 1.544893555259592688e+01
-3.141592650000006315e-01 -3.141592653999969009e+00 1.795325633675594901e+01 1.873757316283406027e+01 1.572783930158704457e+01
-2.513274119999963641e-01 -3.141592653999969009e+00 1.910215115721186407e+01 1.765610246004499828e+01 1.540444133019396133e+01
-1.884955589999981196e-01 -3.141592653999969009e+00 2.014668266565444554e+01 1.538372755703797523e+01 1.414928067734703987e+01
-1.256637059999981820e-01 -3.141592653999969009e+00 2.100371423633489343e+01 1.167423713011104525e+01 1.194021710150689763e+01
-6.283185299999909101e-02 -3.141592653999969009e+00 2.158682073176581895e+01 6.687752217579986613e+00 8.865097681972986976e+00
0.000000000000000000e+00 -3.141592653999969009e+00 2.182841518351177257e+01 9.028226688440067482e-01 5.176343967013995240e+00
6.283185299999909101e-02 -3.141592653999969009e+00 2.169224124099973494e+01 -5.210775562696955632e+00 1.278794405477003071e+00
1.256637059999981820e-01 -3.141592653999969009e+00 2.117980848020597051e+01 -1.098149672916501984e+01 -2.366847166890990284e+00
1.884955589999981196e-01 -3.141592653999969009e+00 2.033136674840686453e+01 -1.578001501608003743e+01 -5.339726799749008102e+00
